name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Unify Physical Therapy,Houston,,,,,,,,N/A,No website,,osm
Physical Therapy,Houston,,,,,,,,N/A,No website,,osm
