name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Extended Stay America,Las Vegas,,,,,,,,N/A,No website,,osm
Monterey Grand Manor,Las Vegas,,,,,,,,N/A,No website,,osm
Crockfords Las Vegas,Las Vegas,NV,333 West Resorts World Drive,,,,,,N/A,No website,,osm
Rodeway Inn,Las Vegas,,,,,,,,N/A,No website,,osm
