name,city,state,address,zip,phone,website,rating,reviews,mobile_score,problem_found,pitch_angle,source
Century 21,Dallas,,,,,,,,N/A,No website,,osm
RE/MAX,Dallas,,,,,,,,N/A,No website,,osm
Real Dallas,Dallas,,,,,,,,N/A,No website,,osm
Cushman & Wakefield,Dallas,,,,,,,,N/A,No website,,osm
Engel & Völkers,Dallas,,,,,,,,N/A,No website,,osm
Dave Perry-Miller,Dallas,,,,,,,,N/A,No website,,osm
Keller Williams Realty,Dallas,,,,,,,,N/A,No website,,osm
Evolve Real Estate,Dallas,,,,,,,,N/A,No website,,osm
